,movie_id,unique_user_count,average_rating,title,genres,poster_url
0,2019,628,4.560509554140127,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/2019.jpg?raw=true
1,318,2227,4.554557700942973,"Shawshank Redemption, The (1994)",Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/318.jpg?raw=true
2,858,2223,4.524966261808367,"Godfather, The (1972)",Action|Crime|Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/858.jpg?raw=true
3,745,657,4.52054794520548,"Close Shave, A (1995)",Animation|Comedy|Thriller,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/745.jpg?raw=true
4,50,1783,4.517106001121705,"Usual Suspects, The (1995)",Crime|Thriller,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/50.jpg?raw=true
5,527,2304,4.510416666666667,Schindler's List (1993),Drama|War,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/527.jpg?raw=true
6,1148,882,4.507936507936508,"Wrong Trousers, The (1993)",Animation|Comedy,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/1148.jpg?raw=true
7,922,470,4.491489361702127,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Film-Noir,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/922.jpg?raw=true
8,1198,2514,4.477724741447892,Raiders of the Lost Ark (1981),Action|Adventure,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/1198.jpg?raw=true
9,904,1050,4.476190476190476,Rear Window (1954),Mystery|Thriller,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/904.jpg?raw=true
